Frase,HybridFunction,Tiempo_Hybrid,DiscriminatoryIteration,Tiempo_Discriminatory,GreedyPassword,Tiempo_Greedy,AleatoryIteration,Tiempo_AleatoryIter,AleatoryGeneration,Tiempo_AleatoryGen
"vida44","vida44",0.0019114,"V¡D@44",1.5e-06,"V¡D@44",5.9e-06,"v¡d@44",7.11e-05,"VIDA44",7e-07
"clave5","clave5",0.0078907,"C|@VES",1.6e-06,"<|@VES",9.9e-06,"<|4v€$",0.0001334,"ClAVes",5e-07
"pass12","p45$IZ",0.0075002,"p@$5|Z",2.2e-06,"P@$5|Z",1.01e-05,"P@$$|2",3.24e-05,"P@sSlZ",5e-07
"qwerty","qwerty",0.0053465,"qWER+Y",1.4e-06,"QWER+Y",7.3e-06,"qW€r+y",0.000146,"qW€RTy",8e-07
"asdf12","asdf12",0.0066347,"4$DF|Z",1.5e-06,"@$DF|Z",9.4e-06,"@$dF¡2",7.21e-05,"a5dFI2",5e-07
"zxcv1","zxcv1",0.003878,"Z×<V|",1.4e-06,"2×<V1",6.1e-06,"2×<V!",4.35e-05,"zx<V1",7e-07
"hola22","h0L42Z",0.0053963,"H0|@Zz",1.6e-06,"H0|@Zz",9e-06,"hO|4Zz",3.72e-05,"H0L4z2",5e-07
"adios3","adios3",0.0056178,"AD¡0$E",2.2e-06,"@D!0$E",1.12e-05,"4D!0$€",0.000142,"ad10$3",5e-07
"uno11","uN0Il",0.0038532,"vn0|I",1.3e-06,"Un0|I",8.2e-06,"Vn0||",1.66e-05,"uno|1",6e-07
"dos22","dO$2Z",0.0032976,"d0$Zz",1.2e-06,"D0$Zz",6.5e-06,"do$zz",1.67e-05,"Dos2z",5e-07
"tres3","tres3",0.0037005,"tRE$€",2.4e-06,"+RE$3",7.4e-06,"+R€$€",0.0002043,"+R3Se",4e-07
"cuatro","cuatro",0.0065194,"<U@+R0",1.7e-06,"<U@+R0",9e-06,"<v@+rO",3.72e-05,"CU@TRo",6e-07
"cinco5","(1N<0S",0.0058639,"<¡n(0S",1.8e-06,"<¡n(05",8.1e-06,"(¡n(o$",6.25e-05,"(1NcoS",5e-07
"maria2020","m4r1a20ZO",0.0488218,"M@R¡4ZOz0",2.6e-06,"M@R!4ZOz0",1.54e-05,"MaR!@2OZ0",3e-06,"MAR1AzOZO",8e-07
"carlos777","carlos777",0.0081298,"C@R|0$777",2.1e-06,"<@R|0$777",9.3e-06,"(@r|o$777",0.0003446,"(4rlO$777",8e-07
"pedro1111","p3DrO!1|I",0.0275439,"pEDR0|Il1",2.6e-06,"PEDR0|Il1",1.56e-05,"P€DrO|¡||",0.0027641,"PEDROI||l",7e-07
"ana202020","4NaZOz02o",0.0621731,"an@ZOz02o",2.8e-06,"@n4ZOz02o",1.53e-05,"4n@20ZOzo",1.9e-05,"anAzo20Zo",7e-07
"luis12345","luis12345",0.0255919,"lU¡$|ZE4S",2.9e-06,"|U!$IZE4S",1.49e-05,"|vi$IZE45",3e-06,"LU¡s1zE4S",8e-07
"soledad77","5OL3d@D77",0.009462,"s0|ED@d77",2.1e-06,"$0|ED@d77",1.04e-05,"$0|€D@d77",0.0014344,"S0L€d4D77",9e-07
"pablo2022","p4b|OZ02z",0.0431696,"P@8|0ZOz2",2.3e-06,"P@8|0ZOz2",1.37e-05,"P48|Oz02Z",1.07e-05,"p4bl02OZz",8e-07
"clave123","clave123",0.0238579,"(|@VEIZ€",2.4e-06,"<|@VEIZ3",1.43e-05,"<lAvE1ze",1.8e-06,"clAvEI2€",9e-07
"pass2023","p4S$ZOz3",0.0317843,"p@$5ZOzE",2.8e-06,"P@$5ZOzE",1.34e-05,"P@s$2OZ3",1.7e-06,"Pas5ZOZe",7e-07
"qwerty77","qwerty77",0.0071168,"QWER+Y77",1.6e-06,"QWER+Y77",8.3e-06,"qW€r+y77",0.0006854,"qwERtY77",5e-07
"asdf1234","asdf1234",0.0131421,"4$DF|ZE4",1.9e-06,"@$DF|ZE4",1.1e-05,"@$DF|Z€4",0.000711,"@sdf1Z34",6e-07
"zxcv2020","Zx(vz02O",0.0280709,"Z×<VzO20",2.4e-06,"2×<VZOz0",1.1e-05,"Z×(v202O",0.0003702,"zx<vZ0Z0",7e-07
"hola2024","hola2024",0.0117226,"h0|@ZOz4",2e-06,"H0|@ZOz4",1.06e-05,"ho|AzO24",1.7e-06,"Ho|a20Z4",5e-07
"adios777","adios777",0.0039464,"AD¡0$777",1.8e-06,"@D!0$777",7.7e-06,"4d!O$777",0.000161,"@Dios777",6e-07
"uno12345","uno12345",0.0123395,"vn0|ZE4S",1.9e-06,"Un0|ZE4S",1.16e-05,"vnO|2e4s",3.6e-06,"vNo|Z34S",7e-07
"dos22222","dOsZ2zz2",0.0312631,"D0$Zz2Zz",2.3e-06,"D0$Zz2Zz",1.11e-05,"D0$zZ2z2",0.0001721,"Do$zZ222",6e-07
"tres3333","TrESE33e",0.0319846,"tRE$€3eE",2.9e-06,"+RE$3eE3",1.43e-05,"+r€$€€€€",0.11478,"tRE5eee3",1.4e-06
"cuatro44","cuatro44",0.0070733,"<U@+R044",1.8e-06,"<U@+R044",8.6e-06,"<V@+RO44",0.0001701,"<v4Tr044",6e-07
"cinco555","(1nC05$S",0.0191448,"(¡n<0Ss5",3.7e-06,"<¡n(0Ss5",1.31e-05,"<¡N<0$$$",0.0002798,"<¡n<05ss",9e-07
"seis6666","53!S6g9G",0.0209979,"5E¡$Gg6G",2.9e-06,"$E!5Gg6G",1.35e-05,"$€|$9999",0.0004549,"$EISgg66",5e-07
"siete777","51E+3777",0.0037287,"$¡E+€777",2e-06,"$¡E+3777",9.2e-06,"$¡€+€777",0.0040106,"$13t€777",1e-06
"ocho8888","O(h08888",0.0016947,"O<H08888",1.4e-06,"0<HO8888",5.5e-06,"0<hO8888",0.0001394,"OCHO8888",1e-06
"nueve999","Nu3VE999",0.0039939,"NUEV€999",1.7e-06,"nUEV3999",1e-05,"nv€V€999",0.0021179,"NveVe999",6e-07
"diez1010","d132!O|0",0.0204172,"D¡E2|OI0",2.5e-06,"D¡E2|OI0",1.24e-05,"D!32|OI0",1.9e-06,"dIezIolO",9e-07
"sol12345","sol12345",0.015833,"s0|IZE4S",2.1e-06,"$0|IZE4S",1.2e-05,"$0||z€4$",0.0005857,"so|1Ze4s",8e-07
"luna2020","Lun@20ZO",0.0265676,"|Un@ZOz0",2.3e-06,"|Un@ZOz0",1.63e-05,"LUn@zO20",3.2e-06,"LuN@zozO",8e-07
"estrella7","estrella7",0.0165401,"3$+RE|L@7",2.4e-06,"€$+RE|La7",1.17e-05,"€$+R€||@7",0.004942,"3$+r3||47",8e-07
"cielo888","cielo888",0.0038113,"c¡E|0888",2e-06,"<¡E|0888",8.2e-06,"<|€|o888",0.0005118,"C¡3|o888",6e-07
"nube9999","nube9999",0.002009,"NU8E9999",1.8e-06,"nU8E9999",6.4e-06,"nV8€9999",0.0005368,"Nu839999",7e-07
"flor2024","f|0RzoZ4",0.0158653,"f|0RZOz4",1.9e-06,"F|0RZOz4",1.1e-05,"fl0r2OZ4",2.5e-06,"fLORZOZ4",7e-07
"rosa7777","rosa7777",0.0019674,"r0$@7777",1.6e-06,"R0$@7777",6e-06,"R0$47777",0.0001412,"ROS47777",5e-07
"verde123","v3rdeIZE",0.0293176,"VERD€|Z3",2.6e-06,"VERD3|Ze",1.32e-05,"V€rD€!Z€",0.0097428,"v3RD3lz3",8e-07
"azul2020","4ZUL2Ozo",0.0278607,"42U|ZOz0",3e-06,"@2U|ZOz0",1.32e-05,"@ZV|z02O",1.22e-05,"4zVLZozo",7e-07
"negro555","NE9R05Ss",0.025263,"NE9R0Ss5",2.3e-06,"nE9R0Ss5",1.23e-05,"NE9RO5$S",2.9e-06,"N€6RoSsS",9e-07
"blanco77","blanco77",0.0050559,"8|@n<077",1.7e-06,"8|@n<077",8.6e-06,"8|4N<077",0.0001709,"8|@nCo77",5e-07
"gato2020","64+O2oz0",0.0292391,"6@+0ZOzo",3.5e-06,"9@+0ZOzo",1.41e-05,"94+02ozO",1.19e-05,"g4+0ZO20",9e-07
"perro123","pErROIZe",0.0306226,"PERr0|Z€",2.5e-06,"PERr0|Z3",1.46e-05,"P€RRO|2€",0.00276,"P3RrO12e",9e-07
"pez77777","pez77777",0.0009696,"PE277777",1.8e-06,"PE277777",4e-06,"p€z77777",0.00051,"pez77777",8e-07
"ave202020","4v3ZO20zo",0.0649866,"aVEZOz02o",3e-06,"@VEZOz02o",1.7e-05,"4V€zozO2O",0.001752,"av€ZOz0Zo",1.3e-06
"casa1234","casa1234",0.0119782,"(@$4|ZE4",2.8e-06,"<@$4|ZE4",1.52e-05,"<4$4|Z€4",0.0005679,"c@$AI2e4",1e-06
"puerta77","puerta77",0.0053034,"pUER+@77",1.9e-06,"PUER+@77",1.15e-05,"pv€R+@77",0.0006844,"pVeRT477",9e-07
"mesa2022","m3$@zOZ2",0.0222724,"mE$@ZOz2",2.4e-06,"ME$@ZOz2",1.54e-05,"mesaz02Z",5.8e-06,"m3$4Z0Zz",9e-07
"silla999","51Ll@999",0.0033785,"5¡|L@999",2.2e-06,"$¡|L@999",1.01e-05,"$|||4999",0.0001298,"$I|lA999",9e-07
"coche123","(O<HEIZe",0.024436,"C0<HE|Z€",3.4e-06,"<0(HE|Z3",1.64e-05,"(O(H€¡2€",0.0049845,"<0CHElz€",1e-06
"carro2020","(4RrOZo20",0.0665002,"c@Rr0ZOzo",2.9e-06,"<@Rr0ZOzo",1.63e-05,"(@rRoZ0zO",1.29e-05,"caRRoZOzO",1.2e-06
"tren77777","tren77777",0.0020107,"tREn77777",1.8e-06,"+REn77777",7.8e-06,"+R€N77777",0.0011662,"+reN77777",8e-07
"avion8888","avion8888",0.0041681,"@V¡0n8888",2.5e-06,"@V!0n8888",9.8e-06,"@v|oN8888",0.000321,"@VIoN8888",8e-07
"barco9999","barco9999",0.0027047,"b@R<09999",2e-06,"8@R<09999",9.6e-06,"84R<o9999",0.0003214,"B4Rco9999",8e-07
"rio202020","r!02ozOZO",0.0644747,"r¡0ZOzo2O",3e-06,"R¡0ZOzo20",1.43e-05,"r!0ZoZ02o",0.0003925,"R!0ZoZ02O",9e-07
"mar123456","mar123456",0.0281446,"M@R|ZE4SG",2.4e-06,"M@R|ZE4SG",1.62e-05,"m@R1ZE4SG",3.2e-06,"m@RlZ345g",9e-07
"maria202020","m@rIa20zOZo",0.168261,"M@R¡4ZOz02o",3.9e-06,"M@R!4ZOz02o",2.33e-05,"MarI42ozo2O",2.8e-06,"MAR¡4ZOZoZo",1.2e-06
"carlos77777","carlos77777",0.0070393,"c@R|0$77777",2.5e-06,"<@R|0$77777",1.15e-05,"<4R|O$77777",0.001733,"c@RL0577777",9e-07
"pedro123456","pedro123456",0.0950554,"PEDR0|Z€4SG",3.2e-06,"PEDR0|Z34SG",1.95e-05,"P€dR012e4SG",3.5e-06,"P€DRoI2e4sg",1.2e-06
"analuisa111","4N@LuI5a1|l",0.105679,"@n4|U¡$aIl1",4e-06,"@n4|U!$aIl1",2.76e-05,"aNaluI5@1|I",3.3e-06,"AnaLv¡SaIIl",1.3e-06
"luisfern123","luisfern123",0.129978,"|U¡$FERnIZ€",3.7e-06,"|U!$FERnIZ3",2.44e-05,"lV¡5feRnIz3",3.5e-06,"LV1sF3rnIZe",1.2e-06
"soledad8888","5OLEd4D8888",0.0091191,"50|ED@d8888",2.8e-06,"$0|ED@d8888",1.29e-05,"$O|€D4D8888",0.0066783,"$0lEdAd8888",1e-06
"pablo202212","p48L0zoZz|2",0.127973,"P@8|0ZOz2IZ",3.2e-06,"P@8|0ZOz2Iz",2.24e-05,"P48L02O22IZ",5e-06,"p@BLO2oZ21z",1.1e-06
"claveclave11","(L4VE<|aveI1",0.138465,"c|@VE<L4v€Il",4e-06,"<|@VE(L4v3Il",2.88e-05,"<|4v€<|4V€||",0.0492366,"(|4v3CLav3||",1.9e-06
"password123","p4s$wOrd123",0.140272,"p@$5W0RD|ZE",3.7e-06,"P@$5W0RD|ZE",2.41e-05,"pas$W0RD1ZE",3.6e-06,"pa5sW0rDl2€",1.2e-06
"qwerty20202","qwErTy2OZ0z",0.2376,"qWER+YZOz02",4.3e-06,"QWER+YZOz02",2.46e-05,"qWEr+YZOz0z",4.3e-06,"qW3rtyZO20z",7e-07
"asdfasdf111","45dfaSDFI|1",0.107083,"@$DF45df|Il",3.6e-06,"@$DF45df|Il",2.46e-05,"ASDfasdFI1l",3.9e-06,"4SdFaSdF1ll",9e-07
"zxcvzxcv22","Zx(V2XCvz2",0.0926984,"z×<V2X(vZZ",4e-06,"2×<VZX(vz2",1.77e-05,"2×(Vz×<vZ2",0.0035817,"Zx(VZx<v22",1e-06
"holaamigo77","hOL4aM|9077",0.0187888,"h0|@4M¡9O77",3.8e-06,"H0|@4M!9O77",1.98e-05,"HO|4@miGo77",3.6e-06,"hoL4@m¡G077",1.1e-06
"adios202020","4D|O$zo20ZO",0.23491,"4D¡0$ZOzo2O",3.7e-06,"@D!0$ZOzo20",2.35e-05,"ad105zO2o2O",3.4e-06,"4d1OSZOZo2O",1.1e-06
"uno12345678","uno12345678",0.0264295,"Un0|ZE4SG78",2.8e-06,"Un0|ZE4SG78",1.63e-05,"UnOlz345678",3.9e-06,"Un01Z34sg78",1.1e-06
"dosdos22222","d0$DOS2ZZ2z",0.234226,"D0$dO5Zz2Zz",3.3e-06,"D0$dO5Zz2Zz",2.69e-05,"DoSdOs22ZzZ",7.6e-06,"d0sDoSZ2z2z",1e-06
"tres3333333","TREs3EEe3ee",0.191994,"+RE$€3eE€3e",4.8e-06,"+RE$3eE3e€3",2.26e-05,"+r€$€€€€€€€",63.5777,"+Re$33eeeEE",1.1e-06
"cuatro44444","cuatro44444",0.0057769,"cU@+R044444",2.4e-06,"<U@+R044444",1.08e-05,"(V4+ro44444",0.0013374,"cuatRo44444",8e-07
"cinco555555","(1n<0sSs5$S",0.100479,"(¡n<0Ss5Ss5",3.3e-06,"<¡n(0Ss5Ss5",1.98e-05,"<|NCo5$sSSS",5.4e-06,"cin(0sss555",8e-07
"seis6666666","5E!Sg6g96GG",0.121714,"sE¡$Gg6Gg6G",3.9e-06,"$E!5Gg6Gg6G",1.96e-05,"$€¡$9999999",0.0086527,"53i$6666ggG",9e-07
"siete777777","513+E777777",0.002863,"5¡E+€777777",3e-06,"$¡E+3777777",1.05e-05,"$¡€+€777777",0.03741,"S¡3te777777",1.1e-06
"ochoocho888","O(Hoo<h0888",0.0221954,"O<H0o(h0888",2.7e-06,"0<HOo(h0888",1.34e-05,"o<ho0<ho888",0.0015606,"ocH0oCHo888",9e-07
"nueve999999","Nu3Ve999999",0.0036827,"NUEV€999999",2.1e-06,"nUEV3999999",9.4e-06,"nV€V€999999",0.0191003,"NU€Ve999999",1.2e-06
"diezdiez101","d!3ZDIe21Ol",0.191338,"D¡E2d!€Z|OI",4.4e-06,"D¡E2d!3Z|O1",2.13e-05,"dI32diE2l01",3.1e-06,"diEzdiezIol",1e-06
"solsol12345","5OLS0|IZE4s",0.0681532,"50|$OLIZE4S",3.1e-06,"$0|5OLIZE4S",2.01e-05,"$0|$O|¡2€4$",0.0123465,"soL$Ol|2e4s",1.4e-06
"lunaroja111","Lun4rOJ@1|l",0.0909709,"LUn@R0J4|Il",3.1e-06,"|Un@R0J4Il1",2.2e-05,"lUN4r0J4Il1",3.2e-06,"Lvn@roj@Il|",1.1e-06
"estrellas77","estrellas77",0.0171534,"3$+RE|L@577",3.1e-06,"€$+RE|L@577",1.88e-05,"eS+RElLa$77",4.9e-06,"EStr€l|a$77",1.2e-06
"cielocielo9","(1ELO<I3|o9",0.0358167,"(¡E|0<!€LO9",3.6e-06,"<¡E|0(!3LO9",2.22e-05,"c!€Lo(13lO9",3.3e-06,"c¡€LoCIeL09",1.2e-06
"nubecita222","Nu83<!T@2zZ",0.0340092,"nU8E<¡+@Zz2",4.1e-06,"nU8E<!+@Zz2",2.43e-05,"nvbe<iT4Z2Z",3.5e-06,"nVBeC1TAzZ2",9e-07
"florcita333","fL0r<!T@3Ee",0.0402055,"f|0R<¡+@E€3",3.9e-06,"F|0R<!+@E3e",2.46e-05,"f|oR(¡+4€€€",0.218395,"FlOR(1TaEeE",1.7e-06
"rosarosa444","rO54RoSa444",0.0191332,"r0$@RO54444",3.3e-06,"R0$@rO54444",1.55e-05,"RO$@ro$@444",0.0014753,"R0sAR054444",9e-07
"verdeverde5","v3rdEVERDeS",0.242519,"vERD€V3rdeS",3.5e-06,"VERD3verd3S",1.9e-05,"v€rD€v€rD€$",0.388481,"vERdEV3rde5",1.8e-06
"azulazul777","@Zu|azUl777",0.0201962,"a2U|@ZuL777",2.7e-06,"@2U|4ZuL777",1.53e-05,"4ZUl@2vL777",5.1e-06,"4Zv|4zVl777",1e-06
"negronegro8","N36ROnE9ro8",0.0716069,"nE9R0N€6rO8",3.2e-06,"nE9R0N36rO8",1.95e-05,"n€9RON€9rO8",0.0280868,"n€6r0n3gro8",1.2e-06
"blancoblanc9","bL@N<08lanC9",0.0607567,"b|@n<08L4N(9",3.4e-06,"8|@n<0bL4N(9",2.27e-05,"blAn<o8|@n<9",3.3e-06,"bl@NCoBlaNC9",1.1e-06
"gatogato123","64TO9@to!Z3",0.123698,"G@+094TO|ZE",3.7e-06,"9@+064TO|ZE",2.42e-05,"6ATogAT01z3",3e-06,"Ga+oG@T012€",1.1e-06
"perroperro22","p3rR0PERrO2z",0.48453,"pERr0P€RrOZz",3.7e-06,"PERr0p3RrOZz",2.14e-05,"p€RrOp€rrO2Z",0.0613032,"P€rr0P3RroZ2",1.2e-06
"pezpez99999","p32PEZ99999",0.0080285,"pE2P€Z99999",3.2e-06,"PE2p3Z99999",8.5e-06,"p€ZP€z99999",0.0224985,"pE2p€Z99999",1.4e-06
"aveave20202","4v3aVEZO2oz",0.238085,"@VE4v€ZOz02",4.1e-06,"@VE4v3ZOz02",2.27e-05,"4V€4v€202o2",0.0286561,"4v€4Vez0zo2",1.1e-06
"casacasa111","(45aCAS@!|1",0.0303092,"c@$4<a5A|Il",3.6e-06,"<@$4(a5A|Il",2.65e-05,"<@$4<@$@|||",0.0012446,"cAs4<@$alI1",9e-07
"puertapuert9","pu3rT@PvER+9",0.115832,"PUER+@pu€rT9",4e-06,"PUER+@pu3rT9",2.26e-05,"pV€r+4PV€r+9",0.0604906,"Pu€rt4PVErt9",1.3e-06
"mesamesa2222","m3$@ME5a2zZz",0.23199,"mE$@M€54Zz2Z",4.2e-06,"ME$@m354Zz2Z",2.63e-05,"m€$@m€$@2z2Z",0.0581014,"mes4m3sA222Z",1e-06
"sillasilla33","$I|l@S1|L4eE",0.0782657,"$¡|L@5!l|4E€",6.1e-06,"$¡|L@5!lL4E3",2.46e-05,"$|||@$|||4€€",0.0385575,"s!|la$1|laEE",1.8e-06
"cochecoche44","(OChEc0<He44",0.0601854,"C0<HE(Och€44",3.4e-06,"<0(HECOch344",2.24e-05,"(OCH3c0<hE44",4.3e-06,"(0Ch€(0<H344",1.2e-06
"carrocarro55","(4rR0CaRroS5",0.288557,"c@Rr0<4RrOSs",3.5e-06,"<@Rr0(4RrOSs",2.42e-05,"C@rRocarr0s5",4.1e-06,"CARRoc4RrO5s",1e-06
"tren20202020","TrEn2OZoz02O",0.491304,"+REnZOz02oZO",4.2e-06,"+REnZOz02ozO",2.36e-05,"TrEN2ozO20ZO",3.1e-06,"Tr3N20zozozO",1e-06
"avionavion88","4v1ONaVIon88",0.0913601,"AV¡0n@v!ON88",4.4e-06,"@V!0n4v1ON88",1.79e-05,"AVI0NAv!0n88",5.1e-06,"@V10NaViOn88",8e-07
"barcobarco99","b@r(08aR<O99",0.0497828,"8@R<0b4r(O99",3.2e-06,"8@R<0b4r(O99",1.95e-05,"8AR(OBar<o99",6e-06,"b@r(oB4r(099",8e-07
"rio123456789","rio123456789",0.0230769,"r¡0|ZE4SG789",3.7e-06,"R¡0|ZE4SG789",1.55e-05,"r!012€45G789",4.5e-06,"RIolZE4s6789",9e-07
"marprofundo1","m4Rpr0fuNdOI",0.487488,"M@RPr0FUnDO|",3.6e-06,"M@RPr0FUnDO|",2.75e-05,"m4rPrOFvNdOI",3.9e-06,"m4rpr0fUND01",1e-06
"andreslopez2020","4nDrES|OpeZ2oz0",2.60644,"@nDRE$|0P€2ZOzo",8.5e-06,"@nDRE$|0P32ZOzo",3.35e-05,"ANdRes|opEz202o",3.6e-06,"4NDr3$l0pEz2OzO",1e-06
"paolaramirez88","p4O|@RaM!rEZ88",0.225956,"p@0|4RaM¡rE288",4.4e-06,"P@0|4RaM!rE288",2.92e-05,"P@o|4RAMIr€Z88",5.5e-06,"p4OL4Ram¡R€z88",1.6e-06
"fernandodiaz123","fErN4ndOD!@2|ze",0.86149,"FERn@ND0d¡42|Z€",7.2e-06,"FERn@ND0d!42|Z3",3.66e-05,"ferN4ndOd¡aZIzE",5e-06,"fERnaNd0d1a21ZE",1.4e-06
"claudiagomez77","(|4udla60m3Z77",0.268382,"<|@UD¡490ME277",4.7e-06,"<|@UD!490ME277",3.32e-05,"cl4UDiagOM3277",5.5e-06,"<|4uD1AGOM€z77",2.6e-06
"ricardosoto9999","r1(@RDO$0To9999",0.108692,"r¡<@RD0$O+o9999",5.2e-06,"R¡<@rD0$O+o9999",2.51e-05,"R¡(@RDoSoT09999",4.5e-06,"r1C@RdO$0to9999",1.2e-06
"valeriacruz2020","v4|3Rla(rUzZ02O",1.6237,"v@|ER¡4<rU2ZOz0",6.8e-06,"V@|ER!4<rU2ZOz0",3.99e-05,"Va|ERi@CruZz0Z0",4.5e-06,"v4|€rI4cRvZZ02O",2.4e-06
"alejandromunoz11","4L3J@ndrOmUNoZ1I",3.16313,"4|EJ@nDR0MUNO2Il",5.4e-06,"@|EJ4nDR0MUNO2Il",4.26e-05,"al3j4nDRoMVnoz|I",4.4e-06,"aL3J@NdRoMVno2II",1.3e-06
"camilatorres22","(4m!LaT0Rr352z",0.767457,"(@M¡|4+0RrE$Zz",5.1e-06,"<@M!|4+0RrE$Zz",4.08e-05,"C@mIl4+0RR€$ZZ",6e-06,"<aM¡LAT0rreSzZ",1.4e-06
"danielrojas333","d4NIE|rOj@$e33",0.951244,"D@n¡E|R0J4$€3e",8e-06,"D@n!E|R0J4$3eE",4.1e-05,"D4N¡3LroJa$3E€",4.7e-06,"DaN!E|r0J4seEe",1.2e-06
"sofiaperez4444","5OF!@P3ReZ4444",0.0724945,"S0F¡@PER€24444",5.8e-06,"$0F!@PER324444",2.71e-05,"s0fIAP€rez4444",4.7e-06,"50FiApEr3z4444",1.2e-06
"estebangarcia55","�5+38@n6aR(!45S",0.25765,"E$+€8@n94R<¡aSs",7.4e-06,"€$+E8@n94R<!a55",3.78e-05,"Es+Eb4N6ar<!@5s",4.7e-06,"€5TeBAN9aRcIA5s",2.2e-06
"nataliasalas66","N4TaL|@sAl@S6G",0.252239,"n@+4|¡a$AL@5Gg",5.3e-06,"n@+4|!a$ALA56G",4.37e-05,"N@Ta|IaS@lAS6g",5.6e-06,"NaT@LIa5AL@$gG",1.2e-06
"felipemora7777","f3LIPEMOr47777",0.106505,"FE|¡P€M0R@7777",5.6e-06,"FE|!P3M0R@7777",2.33e-05,"feliP€M0r47777",5.4e-06,"F3L¡PemoRA7777",1.4e-06
"carolinavargas88","(4rO|lnavAR9@$88",0.405062,"C@R0|¡n4Var9A$88",5.4e-06,"<@R0|!n4Var9A$88",5.59e-05,"cARol1n@V4Rgas88",5.2e-06,"c4roLInaV@R94S88",2e-06
"gustavodiaz999","6u5T4v0D1@Z999",0.0582953,"9U$+@V0D¡42999",4e-06,"9U$+@V0D!42999",3.09e-05,"9U5TAvOD!aZ999",4.9e-06,"Gu5+@V0D¡4z999",1.3e-06
"monicaramirez12","mON|<@R4M!r3ZL2",1.16198,"m0n¡<@R4M!rE2|Z",8.3e-06,"M0n!<@R4m1rE2|Z",3.9e-05,"m0n¡caR4m¡re21z",4.9e-06,"M0n¡CAR4MIre2Iz",1.8e-06
"sebastianlopez13","538@ST!4NL0PeZIE",1.33895,"SE8@$+¡4n|0P€2I3",6.7e-06,"$E8@5+!4n|0P32Ie",4.78e-05,"sEBa5t¡@nLop321e",5.2e-06,"sEBA5t1an|oP€2IE",1.8e-06
"patriciacruz14","p@TRI<1aCruZl4",0.307506,"p@+R¡<!4(rU2|4",6.1e-06,"P@+R!<14(rU2|4",3.49e-05,"pAtr1ci4(RVzl4",5.7e-06,"p4tRicI4<RVzl4",1.1e-06
"jorgecastro15","jORg3(4s+r0IS",0.13618,"j0R9E<@$+rO|S",4.3e-06,"J0R9E<@$+rO|S",4.25e-05,"jorG3<@s+ro1s",5e-06,"Jor6€<as+R0|5",1.6e-06
"martinarias2020","m4RTInar|@$Z0zO",0.951585,"m@R+¡n4r!a$ZOz0",7.3e-06,"M@R+!n4r1a$ZOz0",5.39e-05,"m@rt1N@r!as2o20",6.6e-06,"mARTIN4r¡4$z02O",2.1e-06
